,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
40,16,Juhamatti Tapio Aaltonen,Male,28.0,184.0,85.0,Finland,FIN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
73,20,Kjetil Andr Aamodt,Male,30.0,176.0,85.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Super G,Gold
76,20,Kjetil Andr Aamodt,Male,30.0,176.0,85.0,Norway,NOR,2002 Winter,2002,Winter,Salt Lake City,Alpine Skiing,Alpine Skiing Men's Combined,Gold
78,20,Kjetil Andr Aamodt,Male,34.0,176.0,85.0,Norway,NOR,2006 Winter,2006,Winter,Torino,Alpine Skiing,Alpine Skiing Men's Super G,Gold
158,62,Giovanni Abagnale,Male,21.0,198.0,90.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Coxless Pairs,Bronze
159,63,Jos Luis Abajo Gmez,Male,30.0,194.0,87.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Fencing,"Fencing Men's epee, Individual",Bronze
161,65,Patimat Abakarova,Female,21.0,165.0,49.0,Azerbaijan,AZE,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Women's Flyweight,Bronze
163,67,Mariya Vasilyevna Abakumova (-Tarabina),Female,22.0,179.0,80.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Javelin Throw,Silver
172,72,Aleksey Aleksandrovich Abalmasov,Male,28.0,180.0,83.0,Belarus,BLR,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Kayak Fours, 1,000 metres",Gold
173,73,Luc Abalo,Male,23.0,182.0,86.0,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
174,73,Luc Abalo,Male,27.0,182.0,86.0,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
175,73,Luc Abalo,Male,31.0,182.0,86.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Handball,Handball Men's Handball,Silver
186,84,Stephen Anthony Abas,Male,26.0,165.0,55.0,United States,USA,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Featherweight, Freestyle",Silver
195,90,Tamila Rashidovna Abasova,Female,21.0,163.0,60.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Cycling,Cycling Women's Sprint,Silver
200,93,Jol Marc Abati,Male,38.0,190.0,85.0,France,FRA,2008 Summer,2008,Summer,Beijing,Handball,Handball Men's Handball,Gold
274,143,"Desmond ""Des"" Abbott",Male,21.0,184.0,87.0,Australia,AUS,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Bronze
278,145,Jeremy Abbott,Male,28.0,175.0,70.0,United States,USA,2014 Winter,2014,Winter,Sochi,Figure Skating,Figure Skating Mixed Team,Bronze
286,153,Monica Cecilia Abbott,Female,23.0,191.0,88.0,United States,USA,2008 Summer,2008,Summer,Beijing,Softball,Softball Women's Softball,Silver
311,165,Nia Nicole Abdallah,Female,20.0,175.0,56.0,United States,USA,2004 Summer,2004,Summer,Athina,Taekwondo,Taekwondo Women's Featherweight,Silver
450,250,Saeid Morad Abdevali,Male,26.0,170.0,80.0,Iran,IRI,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Middleweight, Greco-Roman",Bronze
617,357,Yusup Abdusalomov,Male,30.0,170.0,84.0,Tajikistan,TJK,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Silver
684,395,Jennifer Abel,Female,20.0,160.0,62.0,Canada,CAN,2012 Summer,2012,Summer,London,Diving,Diving Women's Synchronized Springboard,Bronze
747,428,Elvan Abeylegesse,Female,25.0,159.0,40.0,Turkey,TUR,2008 Summer,2008,Summer,Beijing,Athletics,"Athletics Women's 5,000 metres",Silver
789,455,Denis Mikhaylovich Ablyazin,Male,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Floor Exercise,Bronze
790,455,Denis Mikhaylovich Ablyazin,Male,19.0,161.0,62.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Men's Horse Vault,Silver
794,455,Denis Mikhaylovich Ablyazin,Male,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Team All-Around,Silver
796,455,Denis Mikhaylovich Ablyazin,Male,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Horse Vault,Silver
797,455,Denis Mikhaylovich Ablyazin,Male,24.0,161.0,62.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Gymnastics,Gymnastics Men's Rings,Bronze
814,465,"Matthew ""Matt"" Abood",Male,30.0,197.0,92.0,Australia,AUS,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Bronze
861,495,Alaaeldin Ahmad El-Sayyid Abouelkassem,Male,21.0,188.0,87.0,Egypt,EGY,2012 Summer,2012,Summer,London,Fencing,"Fencing Men's Foil, Individual",Silver
903,514,Ara Abrahamian,Male,29.0,191.0,84.0,Sweden,SWE,2004 Summer,2004,Summer,Athina,Wrestling,"Wrestling Men's Light-Heavyweight, Greco-Roman",Silver
966,543,Pavel Sergeyevich Abramov,Male,25.0,198.0,89.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Volleyball,Volleyball Men's Volleyball,Bronze
974,548,Yekaterina Konstantinovna Abramova,Female,23.0,167.0,65.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Speed Skating,Speed Skating Women's Team Pursuit (6 laps),Bronze
1029,576,"Alejandro ""lex"" Abrines Redondo",Male,23.0,198.0,93.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Basketball,Basketball Men's Basketball,Bronze
1035,580,Svetlana Olegovna Abrosimova,Female,28.0,188.0,77.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Basketball,Basketball Women's Basketball,Bronze
1044,583,Julien Absalon,Male,23.0,180.0,68.0,France,FRA,2004 Summer,2004,Summer,Athina,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
1045,583,Julien Absalon,Male,27.0,180.0,68.0,France,FRA,2008 Summer,2008,Summer,Beijing,Cycling,"Cycling Men's Mountainbike, Cross-Country",Gold
1080,608,Ahmad Abughaush,Male,20.0,178.0,68.0,Jordan,JOR,2016 Summer,2016,Summer,Rio de Janeiro,Taekwondo,Taekwondo Men's Featherweight,Gold
1121,627,Andreea Roxana Acatrinei,Female,16.0,150.0,40.0,Romania,ROU,2008 Summer,2008,Summer,Beijing,Gymnastics,Gymnastics Women's Team All-Around,Bronze
1126,629,William Accambray,Male,24.0,194.0,104.0,France,FRA,2012 Summer,2012,Summer,London,Handball,Handball Men's Handball,Gold
1227,690,Chantal Achterberg,Female,27.0,172.0,72.0,Netherlands,NED,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Bronze
1228,690,Chantal Achterberg,Female,31.0,172.0,72.0,Netherlands,NED,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Women's Quadruple Sculls,Silver
1244,702,Ronny Ackermann,Male,24.0,184.0,69.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Team,Silver
1246,702,Ronny Ackermann,Male,24.0,184.0,69.0,Germany,GER,2002 Winter,2002,Winter,Salt Lake City,Nordic Combined,Nordic Combined Men's Sprint,Silver
1247,702,Ronny Ackermann,Male,28.0,184.0,69.0,Germany,GER,2006 Winter,2006,Winter,Torino,Nordic Combined,Nordic Combined Men's Team,Silver
1276,716,Lautaro Germn Acosta,Male,20.0,168.0,72.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold
1288,723,Osmay Acosta Duarte,Male,23.0,188.0,91.0,Cuba,CUB,2008 Summer,2008,Summer,Beijing,Boxing,Boxing Men's Heavyweight,Bronze
1366,772,"Michael B. ""Mike"" Adam",Male,24.0,175.0,95.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Curling,Curling Men's Curling,Gold
1494,832,Nicola Virginia Adams,Female,29.0,164.0,51.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Boxing,Boxing Women's Flyweight,Gold
1495,832,Nicola Virginia Adams,Female,33.0,164.0,51.0,Great Britain,GBR,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Women's Flyweight,Gold
1514,837,Rachael Alexis Adams,Female,26.0,188.0,81.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
1519,840,"Victoria ""Vicki"" Adams",Female,24.0,164.0,69.0,Great Britain,GBR,2014 Winter,2014,Winter,Sochi,Curling,Curling Women's Curling,Bronze
1527,846,Valerie Kasanita Adams-Vili (-Price),Female,23.0,193.0,120.0,New Zealand,NZL,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Women's Shot Put,Gold
1528,846,Valerie Kasanita Adams-Vili (-Price),Female,27.0,193.0,120.0,New Zealand,NZL,2012 Summer,2012,Summer,London,Athletics,Athletics Women's Shot Put,Gold
1529,846,Valerie Kasanita Adams-Vili (-Price),Female,31.0,193.0,120.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's Shot Put,Silver
1533,849,Filip Kamil Adamski,Male,29.0,189.0,87.0,Germany,GER,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Coxed Eights,Gold
1617,896,Olubayo Adefemi,Male,22.0,181.0,82.0,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver
1637,908,"Ayodele ""Dele"" Adeleye",Male,19.0,190.0,80.0,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver
1668,925,Adenzia Aparecida Ferreira da Silva,Female,25.0,187.0,65.0,Brazil,BRA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Gold
1720,956,"Richard ""Richy""  Adjei",Male,27.0,190.0,110.0,Germany-2,GER,2010 Winter,2010,Winter,Vancouver,Bobsleigh,Bobsleigh Men's Two,Silver
1772,980,"Rebecca ""Becky"" Adlington",Female,19.0,179.0,70.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 400 metres Freestyle,Gold
1773,980,"Rebecca ""Becky"" Adlington",Female,19.0,179.0,70.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 800 metres Freestyle,Gold
1774,980,"Rebecca ""Becky"" Adlington",Female,23.0,179.0,70.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 400 metres Freestyle,Bronze
1775,980,"Rebecca ""Becky"" Adlington",Female,23.0,179.0,70.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Swimming,Swimming Women's 800 metres Freestyle,Bronze
1843,1017,Nathan Ghar-Jun Adrian,Male,19.0,198.0,100.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1844,1017,Nathan Ghar-Jun Adrian,Male,23.0,198.0,100.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 100 metres Freestyle,Gold
1845,1017,Nathan Ghar-Jun Adrian,Male,23.0,198.0,100.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Silver
1846,1017,Nathan Ghar-Jun Adrian,Male,23.0,198.0,100.0,United States,USA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1847,1017,Nathan Ghar-Jun Adrian,Male,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 50 metres Freestyle,Bronze
1848,1017,Nathan Ghar-Jun Adrian,Male,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 100 metres Freestyle,Bronze
1849,1017,Nathan Ghar-Jun Adrian,Male,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
1850,1017,Nathan Ghar-Jun Adrian,Male,27.0,198.0,100.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Swimming,Swimming Men's 4 x 100 metres Medley Relay,Gold
1942,1071,Kseniya Dmitriyevna Afanasyeva,Female,20.0,158.0,48.0,Russia,RUS,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Silver
1962,1085,Maksim Sergeyevich Afinogenov,Male,22.0,183.0,88.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Men's Ice Hockey,Bronze
1977,1095,Cecil Sebastian Afrika,Male,28.0,175.0,75.0,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
2002,1107,"Timothy Ernest Victor Kwizera ""Tim"" Agaba",Male,27.0,193.0,104.0,South Africa,RSA,2016 Summer,2016,Summer,Rio de Janeiro,Rugby Sevens,Rugby Sevens Men's Rugby Sevens,Bronze
2016,1114,Luca Agamennoni,Male,24.0,187.0,93.0,Italy,ITA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxless Fours,Bronze
2017,1114,Luca Agamennoni,Male,27.0,187.0,93.0,Italy,ITA,2008 Summer,2008,Summer,Beijing,Rowing,Rowing Men's Quadruple Sculls,Silver
2044,1131,Clarisse Agbegnenou,Female,23.0,164.0,66.0,France,FRA,2016 Summer,2016,Summer,Rio de Janeiro,Judo,Judo Women's Half-Middleweight,Silver
2099,1169,Marilyn Agliotti,Female,29.0,172.0,58.0,Netherlands,NED,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Gold
2100,1169,Marilyn Agliotti,Female,33.0,172.0,58.0,Netherlands,NED,2012 Summer,2012,Summer,London,Hockey,Hockey Women's Hockey,Gold
2110,1173,Yannick Agnel,Male,20.0,202.0,90.0,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 200 metres Freestyle,Gold
2111,1173,Yannick Agnel,Male,20.0,202.0,90.0,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 100 metres Freestyle Relay,Gold
2112,1173,Yannick Agnel,Male,20.0,202.0,90.0,France,FRA,2012 Summer,2012,Summer,London,Swimming,Swimming Men's 4 x 200 metres Freestyle Relay,Silver
2126,1181,Meghan Christina Agosta (-Marciano),Female,18.0,168.0,67.0,Canada,CAN,2006 Winter,2006,Winter,Torino,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2127,1181,Meghan Christina Agosta (-Marciano),Female,23.0,168.0,67.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2128,1181,Meghan Christina Agosta (-Marciano),Female,26.0,168.0,67.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Women's Ice Hockey,Gold
2138,1188,"Benjamin Alexandro ""Ben"" Agosto",Male,24.0,178.0,75.0,United States-1,USA,2006 Winter,2006,Winter,Torino,Figure Skating,Figure Skating Mixed Ice Dancing,Silver
2183,1220,Sergio Leonel Agero del Castillo,Male,20.0,172.0,74.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Gold
2263,1254,Macarena Aguilar Daz,Female,27.0,170.0,67.0,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze
2280,1262,Sandra Aguilar Navarro,Female,23.0,167.0,50.0,Spain,ESP,2016 Summer,2016,Summer,Rio de Janeiro,Rhythmic Gymnastics,Rhythmic Gymnastics Women's Group,Silver
2331,1301,Sri Wahyuni Agustiani,Female,21.0,147.0,47.0,Indonesia,INA,2016 Summer,2016,Summer,Rio de Janeiro,Weightlifting,Weightlifting Women's Flyweight,Silver
2352,1313,Robyn Mokihana Ah Mow-Santos,Female,32.0,172.0,67.0,United States,USA,2008 Summer,2008,Summer,Beijing,Volleyball,Volleyball Women's Volleyball,Silver
2396,1340,Annica Gunilla hln,Female,27.0,177.0,75.0,Sweden,SWE,2002 Winter,2002,Winter,Salt Lake City,Ice Hockey,Ice Hockey Women's Ice Hockey,Bronze
2423,1356,Christian Ahlmann,Male,29.0,189.0,80.0,Germany,GER,2004 Summer,2004,Summer,Athina,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
2429,1356,Christian Ahlmann,Male,41.0,189.0,80.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
2453,1374,Tontowi Ahmad,Male,29.0,179.0,72.0,Indonesia-1,INA,2016 Summer,2016,Summer,Rio de Janeiro,Badminton,Badminton Mixed Doubles,Gold
2557,1435,Janne Petteri Ahonen,Male,24.0,184.0,66.0,Finland,FIN,2002 Winter,2002,Winter,Salt Lake City,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
2560,1435,Janne Petteri Ahonen,Male,28.0,184.0,66.0,Finland,FIN,2006 Winter,2006,Winter,Torino,Ski Jumping,"Ski Jumping Men's Large Hill, Team",Silver
2579,1444,"Christian ""Chris"" Ahrens",Male,28.0,195.0,97.0,United States,USA,2004 Summer,2004,Summer,Athina,Rowing,Rowing Men's Coxed Eights,Gold
2615,1466,Matteo Aicardi,Male,26.0,192.0,102.0,Italy,ITA,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Silver
2616,1466,Matteo Aicardi,Male,30.0,192.0,102.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Bronze
2619,1467,Mara Magdalena Aicega Amicarelli,Female,30.0,165.0,60.0,Argentina,ARG,2004 Summer,2004,Summer,Athina,Hockey,Hockey Women's Hockey,Bronze
2620,1467,Mara Magdalena Aicega Amicarelli,Female,34.0,165.0,60.0,Argentina,ARG,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Women's Hockey,Bronze
2635,1478,Rosaria Aiello,Female,27.0,172.0,74.0,Italy,ITA,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Women's Water Polo,Silver
2638,1481,Hannes Aigner,Male,23.0,183.0,75.0,Germany,GER,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Kayak Singles, Slalom",Bronze
2672,1487,Ryoji Aikawa,Male,28.0,183.0,85.0,Japan,JPN,2004 Summer,2004,Summer,Athina,Baseball,Baseball Men's Baseball,Bronze
2690,1498,"Charles Benedict ""Ben"" Ainslie",Male,27.0,183.0,90.0,Great Britain,GBR,2004 Summer,2004,Summer,Athina,Sailing,Sailing Men's One Person Dinghy,Gold
2691,1498,"Charles Benedict ""Ben"" Ainslie",Male,31.0,183.0,90.0,Great Britain,GBR,2008 Summer,2008,Summer,Beijing,Sailing,Sailing Mixed One Person Dinghy,Gold
2692,1498,"Charles Benedict ""Ben"" Ainslie",Male,35.0,183.0,90.0,Great Britain,GBR,2012 Summer,2012,Summer,London,Sailing,Sailing Men's One Person Heavyweight Dinghy,Gold
2772,1540,Artur Surenovych Aivazian,Male,35.0,177.0,88.0,Ukraine,UKR,2008 Summer,2008,Summer,Beijing,Shooting,"Shooting Men's Small-Bore Rifle, Prone, 50 metres",Gold
2795,1551,"Oluwafemi ""Junior"" Ajayi",Male,20.0,172.0,79.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
2802,1556,"Ebenezer Oluwafemi ""Femi"" Ajilore",Male,23.0,185.0,75.0,Nigeria,NGR,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Silver
2810,1561,Mobolade Abimbola Ajomale,Male,20.0,180.0,62.0,Canada,CAN,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 4 x 100 metres Relay,Bronze
2926,1634,Taha Akgl,Male,25.0,192.0,125.0,Turkey,TUR,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Gold
2936,1639,Albina Khamitovna Akhatova,Female,25.0,160.0,55.0,Russia,RUS,2002 Winter,2002,Winter,Salt Lake City,Biathlon,Biathlon Women's 4 x 7.5 kilometres Relay,Bronze
2938,1639,Albina Khamitovna Akhatova,Female,29.0,160.0,55.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 10 kilometres Pursuit,Bronze
2940,1639,Albina Khamitovna Akhatova,Female,29.0,160.0,55.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 15 kilometres,Bronze
2941,1639,Albina Khamitovna Akhatova,Female,29.0,160.0,55.0,Russia,RUS,2006 Winter,2006,Winter,Torino,Biathlon,Biathlon Women's 4 x 6 kilometres Relay,Gold
2955,1647,Murodzhon Kakharovich Akhmadaliyev,Male,21.0,165.0,56.0,Uzbekistan,UZB,2016 Summer,2016,Summer,Rio de Janeiro,Boxing,Boxing Men's Bantamweight,Bronze
2961,1649,Artur Kamilevich Akhmatkhuzin,Male,28.0,187.0,79.0,Russia,RUS,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Men's Foil, Team",Gold
2962,1650,Bakhtiyar Shakhabutdinovich Akhmedov,Male,21.0,190.0,120.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Super-Heavyweight, Freestyle",Silver
3020,1682,Morolake Akinosun,Female,22.0,163.0,61.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Athletics,Athletics Women's 4 x 100 metres Relay,Gold
3021,1683,Foluke Antinuke Akinradewo,Female,24.0,191.0,79.0,United States,USA,2012 Summer,2012,Summer,London,Volleyball,Volleyball Women's Volleyball,Silver
3022,1683,Foluke Antinuke Akinradewo,Female,28.0,191.0,79.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Volleyball,Volleyball Women's Volleyball,Bronze
3045,1698,Khadzhimurat Magomedovich Akkayev,Male,19.0,178.0,105.0,Russia,RUS,2004 Summer,2004,Summer,Athina,Weightlifting,Weightlifting Men's Middle-Heavyweight,Silver
3046,1698,Khadzhimurat Magomedovich Akkayev,Male,23.0,178.0,105.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Weightlifting,Weightlifting Men's Middle-Heavyweight,Bronze
3070,1716,Daniel Akpeyi,Male,30.0,187.0,80.0,Nigeria,NGR,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Bronze
3095,1730,Monica Aksamit,Female,26.0,183.0,74.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Fencing,"Fencing Women's Sabre, Team",Bronze
3148,1762,Naser Al Shami,Male,22.0,187.0,81.0,Syria,SYR,2004 Summer,2004,Summer,Athina,Boxing,Boxing Men's Heavyweight,Bronze
3223,1809,Nasser Salih Nasser Abdullah Al-Attiya,Male,41.0,178.0,82.0,Qatar,QAT,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Skeet,Bronze
3304,1858,Fehaid Al-Deehani,Male,45.0,178.0,95.0,Kuwait,KUW,2012 Summer,2012,Summer,London,Shooting,Shooting Men's Trap,Bronze
3306,1858,Fehaid Al-Deehani,Male,49.0,178.0,95.0,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Double Trap,Gold
3354,1885,Ramzy Al-Duhami,Male,40.0,162.0,70.0,Saudi Arabia,KSA,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
3542,2025,Ahmed bin Hasher Al-Maktoum,Male,40.0,175.0,67.0,United Arab Emirates,UAE,2004 Summer,2004,Summer,Athina,Shooting,Shooting Men's Double Trap,Gold
3680,2112,Abdullah Al-Rashidi,Male,52.0,183.0,83.0,Individual Olympic Athletes,IOA,2016 Summer,2016,Summer,Rio de Janeiro,Shooting,Shooting Men's Skeet,Bronze
3721,2134,Prince Abdullah Bin Moteb Al-Saud,Male,27.0,178.0,69.0,Saudi Arabia,KSA,2012 Summer,2012,Summer,London,Equestrianism,"Equestrianism Mixed Jumping, Team",Bronze
3833,2210,Marina Alabau Neira,Female,26.0,164.0,55.0,Spain,ESP,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Windsurfer,Gold
4001,2306,Ruslan Vladimirovich Albegov,Male,24.0,192.0,156.0,Russia,RUS,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Super-Heavyweight,Bronze
4067,2342,Nely Carla Alberto Francisca,Female,29.0,179.0,90.0,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze
4092,2359,Islam-Beka Said-Tsilimovich Albiyev,Male,19.0,165.0,66.0,Russia,RUS,2008 Summer,2008,Summer,Beijing,Wrestling,"Wrestling Men's Lightweight, Greco-Roman",Gold
4146,2379,Brigitte Albrecht-Loretan,Female,31.0,175.0,64.0,Switzerland,SUI,2002 Winter,2002,Winter,Salt Lake City,Cross Country Skiing,Cross Country Skiing Women's 4 x 5 kilometres Relay,Bronze
4299,2458,David Alegre Biosca,Male,23.0,184.0,75.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Silver
4304,2460,Ramn Alegre Biosca,Male,27.0,171.0,71.0,Spain,ESP,2008 Summer,2008,Summer,Beijing,Hockey,Hockey Men's Hockey,Silver
4317,2464,Jo Qesem Ayela Aleh,Female,26.0,171.0,58.0,New Zealand,NZL,2012 Summer,2012,Summer,London,Sailing,Sailing Women's Two Person Dinghy,Gold
4318,2464,Jo Qesem Ayela Aleh,Female,30.0,171.0,58.0,New Zealand,NZL,2016 Summer,2016,Summer,Rio de Janeiro,Sailing,Sailing Women's Two Person Dinghy,Silver
4327,2469,Virgilijus Alekna,Male,32.0,200.0,130.0,Lithuania,LTU,2004 Summer,2004,Summer,Athina,Athletics,Athletics Men's Discus Throw,Gold
4328,2469,Virgilijus Alekna,Male,36.0,200.0,130.0,Lithuania,LTU,2008 Summer,2008,Summer,Beijing,Athletics,Athletics Men's Discus Throw,Bronze
4382,2497,Artur Aleksanyan,Male,20.0,190.0,98.0,Armenia,ARM,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Bronze
4383,2497,Artur Aleksanyan,Male,24.0,190.0,98.0,Armenia,ARM,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Men's Heavyweight, Greco-Roman",Gold
4416,2517,Milan Aleksi,Male,26.0,193.0,96.0,Serbia,SRB,2012 Summer,2012,Summer,London,Water Polo,Water Polo Men's Water Polo,Bronze
4417,2517,Milan Aleksi,Male,30.0,193.0,96.0,Serbia,SRB,2016 Summer,2016,Summer,Rio de Janeiro,Water Polo,Water Polo Men's Water Polo,Gold
4482,2559,Alex Sandro Lobo Silva,Male,21.0,177.0,60.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
4561,2592,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",Male,18.0,179.0,71.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Men's Football,Bronze
4562,2592,"Alexandre ""Alexandre Pato"" Rodrigues da Silva",Male,22.0,179.0,71.0,Brazil,BRA,2012 Summer,2012,Summer,London,Football,Football Men's Football,Silver
