,ID,Name,Sex,Age,Height,Weight,Team,NOC,Games,Year,Season,City,Sport,Event,Medal
150032,75239,Patrick Denis Marleau,Male,34.0,188.0,95.0,Canada,CAN,2014 Winter,2014,Winter,Sochi,Ice Hockey,Ice Hockey Men's Ice Hockey,Gold
150079,75262,McKayla Rose Maroney,Female,16.0,160.0,46.0,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Team All-Around,Gold
150080,75262,McKayla Rose Maroney,Female,16.0,160.0,46.0,United States,USA,2012 Summer,2012,Summer,London,Gymnastics,Gymnastics Women's Horse Vault,Silver
150087,75266,dm Marosi,Male,27.0,181.0,75.0,Hungary,HUN,2012 Summer,2012,Summer,London,Modern Pentathlon,Modern Pentathlon Men's Individual,Bronze
150122,75285,Helen Louise Maroulis,Female,24.0,163.0,57.0,United States,USA,2016 Summer,2016,Summer,Rio de Janeiro,Wrestling,"Wrestling Women's Featherweight, Freestyle",Gold
150133,75293,Dzsenifer Marozsn,Female,24.0,171.0,68.0,Germany,GER,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Women's Football,Gold
150137,75295,Darcy Marquardt,Female,33.0,182.0,72.0,Canada,CAN,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Coxed Eights,Silver
150160,75310,Yane Mrcia Campos da Fonseca Marques,Female,28.0,166.0,55.0,Brazil,BRA,2012 Summer,2012,Summer,London,Modern Pentathlon,Modern Pentathlon Women's Individual,Bronze
150193,75337,"Marcos ""Marquinhos"" Aos Corra",Male,22.0,185.0,75.0,Brazil,BRA,2016 Summer,2016,Summer,Rio de Janeiro,Football,Football Men's Football,Gold
150231,75366,"Davit ""Dato"" Marsagishvili",Male,21.0,186.0,84.0,Georgia,GEO,2012 Summer,2012,Summer,London,Wrestling,"Wrestling Men's Light-Heavyweight, Freestyle",Bronze
150312,75404,Christine Irene Marshall,Female,21.0,165.0,66.0,United States,USA,2008 Summer,2008,Summer,Beijing,Swimming,Swimming Women's 4 x 200 metres Freestyle Relay,Bronze
150371,75433,Trevor Marsicano,Male,20.0,172.0,75.0,United States,USA,2010 Winter,2010,Winter,Vancouver,Speed Skating,Speed Skating Men's Team Pursuit (8 laps),Silver
150387,75446,"Louis Glenn ""Lou"" Marson",Male,22.0,185.0,92.0,United States,USA,2008 Summer,2008,Summer,Beijing,Baseball,Baseball Men's Baseball,Bronze
150395,75451,Marta Vieira da Silva,Female,18.0,162.0,58.0,Brazil,BRA,2004 Summer,2004,Summer,Athina,Football,Football Women's Football,Silver
150396,75451,Marta Vieira da Silva,Female,22.0,162.0,58.0,Brazil,BRA,2008 Summer,2008,Summer,Beijing,Football,Football Women's Football,Silver
150425,75468,Adrienne Elizabeth  Martelli,Female,24.0,186.0,77.0,United States,USA,2012 Summer,2012,Summer,London,Rowing,Rowing Women's Quadruple Sculls,Bronze
150499,75508,Michal Martikn,Male,25.0,170.0,73.0,Slovakia,SVK,2004 Summer,2004,Summer,Athina,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Silver
150500,75508,Michal Martikn,Male,29.0,170.0,73.0,Slovakia,SVK,2008 Summer,2008,Summer,Beijing,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Gold
150501,75508,Michal Martikn,Male,33.0,170.0,73.0,Slovakia,SVK,2012 Summer,2012,Summer,London,Canoeing,"Canoeing Men's Canadian Singles, Slalom",Bronze
150545,75540,Brian Martin,Male,28.0,173.0,77.0,United States-2,USA,2002 Winter,2002,Winter,Salt Lake City,Luge,Luge Mixed (Men)'s Doubles,Silver
150556,75544,Carmen Dolores Martn Berenguer,Female,24.0,172.0,72.0,Spain,ESP,2012 Summer,2012,Summer,London,Handball,Handball Women's Handball,Bronze
150565,75551,Damir Martin,Male,24.0,189.0,97.0,Croatia,CRO,2012 Summer,2012,Summer,London,Rowing,Rowing Men's Quadruple Sculls,Silver
150566,75551,Damir Martin,Male,28.0,189.0,97.0,Croatia,CRO,2016 Summer,2016,Summer,Rio de Janeiro,Rowing,Rowing Men's Single Sculls,Silver
150639,75588,Kevin Martin,Male,35.0,185.0,93.0,Canada,CAN,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Men's Curling,Silver
150640,75588,Kevin Martin,Male,43.0,185.0,93.0,Canada,CAN,2010 Winter,2010,Winter,Vancouver,Curling,Curling Men's Curling,Gold
150714,75624,Rzvan Constantin Martin,Male,20.0,158.0,69.0,Romania,ROU,2012 Summer,2012,Summer,London,Weightlifting,Weightlifting Men's Lightweight,Bronze
150718,75628,Rhona Martin (Howie-),Female,35.0,167.0,71.0,Great Britain,GBR,2002 Winter,2002,Winter,Salt Lake City,Curling,Curling Women's Curling,Gold
150743,75641,Tony Martin,Male,27.0,186.0,75.0,Germany,GER,2012 Summer,2012,Summer,London,Cycling,Cycling Men's Individual Time Trial,Silver
